file,size_bytes,batch,role,suffix
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/processed/XLF_full_features_X.parquet,1858891,Batch 68 Onwards,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/processed/XLF_full_features_y.parquet,30585,Batch 68 Onwards,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/processed/XLF_shap_selected_X.parquet,539497,Batch 68 Onwards,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/processed/XLF_test.parquet,94350,Batch 68 Onwards,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/processed/XLF_train_micro.parquet,501643,Batch 68 Onwards,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/data/processed/XLF_val.parquet,80044,Batch 68 Onwards,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/LICENSE,1498,Batch 68 Onwards,other,
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/analysis/horizon_sweep.py,15784,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/blueshift_features.py,17052,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/cv_config.py,857,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/data.py,3590,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/features.py,32989,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/models.py,3011,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/validation/metrics.py,10400,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/validation/walkforward.py,13204,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/validation/__init__.py,250,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/visualization/plots.py,9990,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/visualization/__init__.py,285,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/mlt04/__init__.py,1597,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/myst.yml,846,Batch 68 Onwards,config,.yml
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/notebooks/00_environment_setup.ipynb,18280,Batch 68 Onwards,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/notebooks/01_benchmark_and_microstructure.ipynb,361515,Batch 68 Onwards,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/notebooks/02_5_horizon_sweep_analysis.ipynb,333273,Batch 68 Onwards,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/notebooks/02_feature_explosion.ipynb,109429,Batch 68 Onwards,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/notebooks/03_shap_feature_selection.ipynb,180165,Batch 68 Onwards,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/notebooks/04_hyperparameter_tuning.ipynb,258317,Batch 68 Onwards,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/notebooks/05_test_set_evaluation.ipynb,56464,Batch 68 Onwards,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/notebooks/06_event_driven_backtesting.ipynb,119398,Batch 68 Onwards,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/notebooks/README.md,16001,Batch 68 Onwards,docs,.md
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/pyproject.toml,4000,Batch 68 Onwards,config,.toml
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/README.md,10406,Batch 68 Onwards,docs,.md
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/tests/validation/test_walkforward_production.py,15971,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/tests/validation/__init__.py,19,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/tests/__init__.py,19,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/test_notebook_imports.py,4391,Batch 68 Onwards,python_source,.py
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/uv.lock,516489,Batch 68 Onwards,config,.lock
MLT-04-Inclass-Exercises-File/MLT-04-Inclass-Exercises-File_Batch 68 Onwards/_static/custom.css,417,Batch 68 Onwards,other,.css
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/.gitignore,294,Batch 67,other,
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/analysis/.gitkeep,0,Batch 67,other,
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/benchmark_results.pkl,203,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/dummy_model.pkl,871,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/final_model.pkl,398910,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/full_features_model.pkl,700,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/full_results.pkl,1400,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/microstructure_model.pkl,171940,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/microstructure_results.pkl,425,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/shap_results.pkl,2212,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/shap_selected_model.pkl,174788,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/simple_model.pkl,700,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/simple_results.pkl,249,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/test_results.pkl,683,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/models/tuned_model.pkl,343948,Batch 67,model_or_result_pickle,.pkl
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/processed/XLF_full_features_X.parquet,1859042,Batch 67,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/processed/XLF_full_features_y.parquet,30585,Batch 67,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/processed/XLF_shap_selected_X.parquet,563788,Batch 67,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/processed/XLF_test.parquet,92151,Batch 67,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/processed/XLF_train_micro.parquet,501949,Batch 67,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/data/processed/XLF_val.parquet,80053,Batch 67,parquet_data,.parquet
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/LICENSE,1498,Batch 67,other,
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/analysis/horizon_sweep.py,15784,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/blueshift_features.py,17052,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/cv_config.py,857,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/data.py,3590,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/features.py,32989,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/models.py,3011,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/validation/metrics.py,10400,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/validation/walkforward.py,13204,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/validation/__init__.py,250,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/visualization/plots.py,9990,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/visualization/__init__.py,285,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/mlt04/__init__.py,1597,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/myst.yml,846,Batch 67,config,.yml
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/notebooks/00_environment_setup.ipynb,18280,Batch 67,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/notebooks/01_benchmark_and_microstructure.ipynb,358696,Batch 67,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/notebooks/02_5_horizon_sweep_analysis.ipynb,331364,Batch 67,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/notebooks/02_feature_explosion.ipynb,41785,Batch 67,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/notebooks/03_shap_feature_selection.ipynb,179608,Batch 67,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/notebooks/04_hyperparameter_tuning.ipynb,259520,Batch 67,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/notebooks/05_test_set_evaluation.ipynb,55789,Batch 67,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/notebooks/06_event_driven_backtesting.ipynb,112331,Batch 67,notebook,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/notebooks/README.md,15572,Batch 67,docs,.md
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/pyproject.toml,3823,Batch 67,config,.toml
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/QUICKSTART.md,713,Batch 67,docs,.md
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/README.md,6320,Batch 67,docs,.md
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/tests/validation/test_walkforward_production.py,15971,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/tests/validation/__init__.py,19,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/tests/validation/__pycache__/test_walkforward_leakage.cpython-312-pytest-8.4.1.pyc,26271,Batch 67,build_or_cache,.pyc
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/tests/validation/__pycache__/test_walkforward_production.cpython-312-pytest-8.4.1.pyc,36177,Batch 67,build_or_cache,.pyc
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/tests/validation/__pycache__/__init__.cpython-312.pyc,182,Batch 67,build_or_cache,.pyc
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/tests/__init__.py,19,Batch 67,python_source,.py
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/uv.lock,516489,Batch 67,config,.lock
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/logs/myst.build.json,578,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/config.json,2696,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/content/benchmark-and-microstructure.json,234190,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/content/environment-setup.json,64913,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/content/event-driven-backtesting.json,86015,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/content/feature-explosion.json,76304,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/content/horizon-sweep-analysis.json,84605,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/content/hyperparameter-tuning.json,153852,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/content/readme.json,138782,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/content/shap-feature-selection.json,150647,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/content/test-set-evaluation.json,131380,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/myst.search.json,266533,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/myst.xref.json,30487,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/objects.inv,610,Batch 67,build_or_cache,.inv
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/00_environment_setup-e672f7c16d5a697339a23bb902e1ea5f.ipynb,18280,Batch 67,build_or_cache,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/01_benchmark_and_mic-cae1bd0896786219bbafeb6f4dfe49f2.ipynb,358696,Batch 67,build_or_cache,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/02_5_horizon_sweep_a-3053c92e65f19e5bba33fe683b7fa39c.ipynb,331364,Batch 67,build_or_cache,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/02_feature_explosion-27cf0fe9fe9f5b87e3b6fb4a7ebb63a9.ipynb,41785,Batch 67,build_or_cache,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/03_shap_feature_sele-04fa532c66620af2bd9b9a5f536a0562.ipynb,179608,Batch 67,build_or_cache,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/04_hyperparameter_tu-3260c6ed88164317d8610b7c039f094e.ipynb,259520,Batch 67,build_or_cache,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/04_hyperparameter_tu-50702fc555a1e032987ac457847d0ad6.ipynb,259735,Batch 67,build_or_cache,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/05_test_set_evaluati-73c958cc96caee6569b7fc9652a951f0.ipynb,55789,Batch 67,build_or_cache,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/06_event_driven_back-f6ca9612458a70e20d2168b9210838c7.ipynb,112331,Batch 67,build_or_cache,.ipynb
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/1afaa553fd1d07b9e56fb0c58ac84270.png,44139,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/1f847eec503a7592843e12f2705df280.png,32009,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/29eb2f8b0cd50428ec6aa2a1f9ffe2af.png,61033,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/2d43be8b4ac38d09efcf6f8a09d115a1.png,38440,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/3040782f1c3d90a7bc61dca79e4f2924.png,45515,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/6a2d177cfafadc04a9bb0123e9be8d08.png,24732,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/71568a627b242684fa2683842d69f533.png,63091,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/78107d5e3583884a8e4da05525ae7857.png,205777,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/784efa4d8623aa846fa69bd709224ba0.png,32611,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/df041ed298347aaa47e6de08cdc15dcb.png,54401,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/ebbb2cc73eac563843b7983de87af126.png,45613,Batch 67,build_or_cache,.png
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/site/public/README-79bef49e4e7dc24c2d106f503252c90c.md,15572,Batch 67,build_or_cache,.md
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/.gitignore,13,Batch 67,build_or_cache,
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/build/index.js,20254629,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/package-lock.json,56786,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/package.json,442,Batch 67,build_or_cache,.json
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1001.thebe-core.min.js,1543,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1066.thebe-core.min.js,1790,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1081.thebe-core.min.js,42926,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1302.thebe-core.min.js,40660,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/132.thebe-core.min.js,4255,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1374.thebe-core.min.js,2385,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1405.thebe-core.min.js,6513,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1408.thebe-core.min.js,2922,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/142.thebe-core.min.js,70992,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1524.thebe-core.min.js,2063,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1553.thebe-core.min.js,9489,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1560.thebe-core.min.js,3480,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1653.thebe-core.min.js,1943,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/1911.thebe-core.min.js,2670,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/2000.thebe-core.min.js,84553,Batch 67,build_or_cache,.js
MLT-04-Inclass-Exercises-File/MLT04-Inclass-Exercises-File - Batch 67/_build/templates/site/myst/book-theme/book-theme-main/public/2293.thebe-core.min.js,4703,Batch 67,build_or_cache,.js
